Дата видачі кредиту,№ договору,Сумма кредиту,Загальна заборгованість,Сімейний стан,Стать,Наявність утриманців,Область реєстрації,Сектор діяльності,Строк кредиту,Кількість днів прострочення,Наявність простроченної заборгованості понад 30 днів ,Рейтинговий бал зовнішній,Статус,results Kasianova,results Chernenko,result Lzkhovetskyi
11/23/2019,424,40 000,0,0,99,0,Е,108.22,12,0,0,76400,1,0,10%,0
11/23/2019,430,100 000,66 061,14,99,0,Б,95.41,27,0,0,52600,1,1,34%,0
11/28/2019,437,100 000,34 583,11,99,0,Б,62.50,15,0,0,73200,1,0,13%,0
11/28/2019,440,200 000,72 067,11,88,0,Б,95.110,15,0,0,54600,1,1,20%,0
11/29/2019,444,100 000,36 033,11,99,0,З,60.35,15,0,1,67200,1,0,20%,0
11/30/2019,447,40 000,0,0,99,0,Е,108.22,12,0,0,76400,1,0,10%,0
12/5/2019,454,130 000,91 791,11,88,0,Б,59.101,27,0,0,78800,1,0,13%,0
12/10/2019,460,80 000,0,11,99,0,З,62.52,21,0,0,49000,1,0,28%,0
12/10/2019,461,80 000,48 045,11,99,0,Б,72.22,27,0,0,65200,1,0,41%,0
12/11/2019,471,50 000,35 928,14,99,0,Н,23.82,27,0,0,61400,1,0,34%,0
12/12/2019,477,110 000,105 417,11,99,0,Б,95.41,27,176,1,47000,1,1,58%,1
12/12/2019,479,50 000,28 400,11,88,1,И,59.26,15,22,0,69200,1,0,8%,0
12/13/2019,482,60 000,0,11,99,n/a,М,62.52,15,0,0,NA,1,0,16%,0
12/13/2019,485,100 000,29 583,14,99,0,Д,68.21,15,0,0,48400,1,0,27%,0
12/13/2019,487,70 000,67 083,14,88,0,И,60.22,27,217,1,60800,1,1,34%,1
12/13/2019,497,130 000,92 349,14,88,0,М,60.85,27,0,0,68200,1,0,28%,1
12/14/2019,500,80 000,0,14,99,0,Б,69.21,15,0,0,45600,1,0,27%,0
12/14/2019,503,80 000,38 467,11,99,0,Г,59.57,15,0,0,59400,1,1,20%,0
12/14/2019,517,50 000,37 538,11,99,0,Б,54.21,27,0,0,67200,1,1,41%,0
12/17/2019,522,50 000,47 917,14,99,0,Й,62.52,27,217,1,59200,1,1,34%,1
12/17/2019,524,150 000,112 268,14,99,0,М,58.22,27,0,0,76000,1,1,24%,0
12/18/2019,530,120 000,114 151,11,99,0,Б,86.22,27,140,1,61800,1,1,41%,1
12/19/2019,535,110 000,73 736,11,88,0,Б,69.21,27,0,0,60400,1,0,41%,0
12/20/2019,538,50 000,37 538,14,88,0,З,59.52,27,0,0,49200,1,1,45%,0
12/20/2019,546,40 000,19 033,11,99,0,А,62.52,15,0,0,67200,1,0,20%,0
12/24/2019,550,170 000,131 840,11,88,0,Б,83.32,27,0,0,58400,1,1,41%,0
12/24/2019,553,80 000,43 707,14,99,0,К,60.22,27,0,0,71200,1,0,28%,0
12/26/2019,563,50 000,35 766,11,99,0,Е,59.101,27,0,1,47800,1,1,58%,0
12/27/2019,565,50 000,0,11,88,0,М,109.20,15,0,0,53400,1,0,20%,0
12/27/2019,568,40 000,9 080,14,88,0,Ї,59.86,15,0,0,87000,1,0,4%,0
